id,school_id,keycloak_id,email,first_name,last_name,phone,persona,status,last_login,email_verified,profile_picture_url,preferences,created_at,updated_at,created_by,updated_by,deleted_at,deleted_by
104bac46-bb21-4e9e-88eb-71f343c91bea,c936164a-9976-4dc6-acab-b7bde89f4248,3d8ba7a2-5379-4cc9-8f06-263ce2bc0a78,sofia.taylor@school.edu,Sofia,Taylor,+1-943-335-2986,Parent,Active,2025-05-26T08:33:30.524776,True,,"{""theme"": ""light"", ""language"": ""en"", ""notifications"": true}",2025-05-11T08:33:30.524776,2025-06-07T08:33:30.524776,system,system,,
2dfa02b5-36f7-4e44-8193-0250b74e6c99,0dc4ff01-4fbe-48a1-8707-eeae65514844,2ef668a4-97b3-4378-94a0-ceb9dc1de304,liam.taylor@gmail.com,Liam,Taylor,+1-891-380-9152,Vendor,Active,2025-08-11T08:33:30.524860,False,,"{""theme"": ""dark"", ""language"": ""en"", ""notifications"": true}",2025-08-04T08:33:30.524860,2025-08-20T08:33:30.524860,system,system,,
8cedc32e-afe1-47da-8340-b41cd7ba943e,c936164a-9976-4dc6-acab-b7bde89f4248,9a815b93-59ec-48fd-ac1f-88dfd74049bc,lucas.martinez@gmail.com,Lucas,Martinez,+1-914-326-5007,Parent,Inactive,2025-06-28T08:33:30.524916,False,,"{""theme"": ""dark"", ""language"": ""en"", ""notifications"": true}",2025-06-05T08:33:30.524916,2025-06-26T08:33:30.524916,system,system,,
9a6a843f-7142-4124-8449-1efd0523075d,f692db59-0f81-42aa-9e12-17d6c6a4e6bf,4d33c1da-fb00-4149-8c94-9d8214a4eb3f,amelia.martin@outlook.com,Amelia,Martin,+1-870-669-7988,Vendor,Suspended,,False,,"{""theme"": ""light"", ""language"": ""en"", ""notifications"": true}",2025-08-09T08:33:30.524970,2025-08-16T08:33:30.524970,system,system,,
86475c56-2715-4f1e-8fda-7b53d8067a75,f692db59-0f81-42aa-9e12-17d6c6a4e6bf,4f798ba8-4e25-4608-93f4-42d622362223,liam.moore@school.edu,Liam,Moore,+1-440-821-9772,Administrator,Inactive,,True,,"{""theme"": ""light"", ""language"": ""en"", ""notifications"": false}",2025-05-08T08:33:30.525014,2025-06-03T08:33:30.525014,system,system,,
6a447e8a-b6ad-4ac2-a495-e2bea4dcd17a,c936164a-9976-4dc6-acab-b7bde89f4248,0d75140f-8cdf-4d00-94ef-bc4b60a46ecd,sophia.jackson@outlook.com,Sophia,Jackson,+1-993-630-1983,Parent,Suspended,2025-09-18T08:33:30.525063,True,,"{""theme"": ""dark"", ""language"": ""en"", ""notifications"": true}",2025-09-03T08:33:30.525063,2025-09-04T08:33:30.525063,system,system,,
8b8b2ad2-407b-4e72-b2e3-1d65c2664cf4,f692db59-0f81-42aa-9e12-17d6c6a4e6bf,278c3db7-2c5b-4a3d-8cbd-25d26ad6845b,henry.gonzalez@school.edu,Henry,Gonzalez,+1-673-363-1568,Administrator,Suspended,2025-05-20T08:33:30.525110,True,,"{""theme"": ""dark"", ""language"": ""en"", ""notifications"": true}",2025-05-19T08:33:30.525110,2025-05-26T08:33:30.525110,system,system,,
b65e8814-fb84-4aac-9d33-4d7433d9cd2b,f692db59-0f81-42aa-9e12-17d6c6a4e6bf,214d8906-4b8e-442d-bac3-41e63b24b877,amelia.brown@yahoo.com,Amelia,Brown,+1-939-395-8843,Parent,Inactive,,False,,"{""theme"": ""dark"", ""language"": ""en"", ""notifications"": false}",2025-06-22T08:33:30.525156,2025-07-19T08:33:30.525156,system,system,,
91246077-a22b-4d7e-a4f8-3a1b9a1beed3,f692db59-0f81-42aa-9e12-17d6c6a4e6bf,6377065b-2f1a-4758-9ad1-534a469590d8,evelyn.taylor@outlook.com,Evelyn,Taylor,+1-450-685-3601,Teacher,Active,2025-06-08T08:33:30.525200,True,,"{""theme"": ""light"", ""language"": ""en"", ""notifications"": true}",2025-05-10T08:33:30.525200,2025-05-27T08:33:30.525200,system,system,,
a8cedf0e-9c3d-40f2-bb1b-fbdc6059986b,0dc4ff01-4fbe-48a1-8707-eeae65514844,d1b53014-1ae6-4fe9-b2fc-b9756c58ebc5,henry.hernandez@yahoo.com,Henry,Hernandez,+1-599-479-4111,Administrator,Suspended,2025-07-02T08:33:30.525246,False,,"{""theme"": ""light"", ""language"": ""en"", ""notifications"": true}",2025-06-23T08:33:30.525246,2025-06-28T08:33:30.525246,system,system,,
87b687ed-235b-411c-b7ad-b410beee75ff,c936164a-9976-4dc6-acab-b7bde89f4248,6ea9804b-b0ee-4021-b100-201858181228,noah.gonzalez@school.edu,Noah,Gonzalez,+1-821-634-7068,Parent,Active,,True,,"{""theme"": ""light"", ""language"": ""en"", ""notifications"": false}",2025-08-23T08:33:30.525293,2025-09-09T08:33:30.525293,system,system,,
949cfaf0-7605-49aa-ac18-07078767cfd2,0dc4ff01-4fbe-48a1-8707-eeae65514844,9777372f-cd4f-4a61-83fd-b879a40777a9,sophia.moore@gmail.com,Sophia,Moore,+1-384-396-1494,Administrator,Active,,False,,"{""theme"": ""light"", ""language"": ""en"", ""notifications"": true}",2025-05-13T08:33:30.525336,2025-05-30T08:33:30.525336,system,system,,
0ecfbfeb-aa4b-4002-b262-e974cbea8590,0dc4ff01-4fbe-48a1-8707-eeae65514844,7e610a01-60bf-48e8-a3be-39e5587ecc47,abigail.taylor@gmail.com,Abigail,Taylor,+1-729-205-5544,Administrator,Suspended,,False,,"{""theme"": ""dark"", ""language"": ""en"", ""notifications"": true}",2025-10-09T08:33:30.525383,2025-11-05T08:33:30.525383,system,system,,
e82a9f56-febc-46b2-b6d0-73bcb264b648,f692db59-0f81-42aa-9e12-17d6c6a4e6bf,4c9d9b3f-d059-4a22-9edc-e531901d9018,mason.davis@yahoo.com,Mason,Davis,+1-344-719-4524,Parent,Active,,True,,"{""theme"": ""light"", ""language"": ""en"", ""notifications"": false}",2025-09-30T08:33:30.525432,2025-10-27T08:33:30.525432,system,system,,
c4a9e4e0-004c-4a5f-8e47-bfcda7375fbc,c936164a-9976-4dc6-acab-b7bde89f4248,5d850841-21f6-4d03-b2d6-88a0385cb3a9,sofia.williams@yahoo.com,Sofia,Williams,+1-875-626-1908,Teacher,Suspended,,True,,"{""theme"": ""dark"", ""language"": ""en"", ""notifications"": false}",2025-08-09T08:33:30.525500,2025-08-16T08:33:30.525500,system,system,,
b1fe663a-6fd8-44e6-9932-a28e0043fb15,c936164a-9976-4dc6-acab-b7bde89f4248,5ca21131-1dca-4e2a-9430-cd3b0e31b0a3,abigail.anderson@outlook.com,Abigail,Anderson,+1-945-413-1766,Teacher,Inactive,,True,,"{""theme"": ""light"", ""language"": ""en"", ""notifications"": false}",2025-05-11T08:33:30.525647,2025-06-02T08:33:30.525647,system,system,,
88e8a6ed-42f9-4785-b07c-706c13f43062,f692db59-0f81-42aa-9e12-17d6c6a4e6bf,f4394b04-a70b-4b6b-8046-657c2aa69400,michael.williams@outlook.com,Michael,Williams,+1-665-946-4377,Teacher,Suspended,,True,,"{""theme"": ""light"", ""language"": ""en"", ""notifications"": true}",2025-09-05T08:33:30.525735,2025-09-21T08:33:30.525735,system,system,,
cae70951-c228-4f52-9ad9-3108ad64a1ec,f692db59-0f81-42aa-9e12-17d6c6a4e6bf,57215c54-9d58-4f9c-b748-beb365bdc8e1,jackson.taylor@yahoo.com,Jackson,Taylor,+1-950-952-6829,Vendor,Active,,True,,"{""theme"": ""light"", ""language"": ""en"", ""notifications"": true}",2025-07-21T08:33:30.525860,2025-07-27T08:33:30.525860,system,system,,
81f54a2c-d3a5-4496-a21e-8a8ac5503976,f692db59-0f81-42aa-9e12-17d6c6a4e6bf,a18d760a-46be-4ec7-9ef4-9b07ce3a44ae,olivia.gonzalez@outlook.com,Olivia,Gonzalez,+1-602-925-1379,Student,Suspended,,False,,"{""theme"": ""dark"", ""language"": ""en"", ""notifications"": false}",2025-05-26T08:33:30.526006,2025-06-07T08:33:30.526006,system,system,,
6830fb8e-c133-4814-963d-f670b10b117a,c936164a-9976-4dc6-acab-b7bde89f4248,e90f7d2c-a5a0-44bb-ad18-9702072f763b,mason.martin@school.edu,Mason,Martin,+1-377-913-1410,Teacher,Suspended,2025-09-06T08:33:30.526155,False,,"{""theme"": ""dark"", ""language"": ""en"", ""notifications"": true}",2025-08-31T08:33:30.526155,2025-09-11T08:33:30.526155,system,system,,
